epoch batch k value what
0 500 92 22.7227 diff
0 500 92 27.241 norm
0 500 93 22.7851 diff
0 500 93 27.2832 norm
0 500 94 22.7929 diff
0 500 94 27.2702 norm
0 500 95 22.7402 diff
0 500 95 27.1961 norm
0 500 96 22.6204 diff
0 500 96 27.0543 norm
0 500 97 22.4265 diff
0 500 97 26.8379 norm
0 500 98 22.1509 diff
0 500 98 26.5391 norm
0 500 99 21.7857 diff
0 500 99 26.1503 norm
0 500 100 21.3237 diff
0 500 100 25.6644 norm
0 500 101 20.7597 diff
0 500 101 25.0765 norm
0 500 102 20.0917 diff
0 500 102 24.3855 norm
0 500 103 19.3221 diff
0 500 103 23.595 norm
0 500 104 18.458 diff
0 500 104 22.7146 norm
0 500 105 17.5103 diff
0 500 105 21.7587 norm
0 500 106 16.4931 diff
0 500 106 20.7464 norm
0 500 107 15.4227 diff
0 500 107 19.6999 norm
0 500 108 14.3179 diff
0 500 108 18.6439 norm
0 500 109 13.0815 diff
0 500 109 17.5428 norm
0 500 110 10.7901 diff
0 500 110 15.6033 norm
0 500 111 8.35896 diff
0 500 111 13.676 norm
0 500 112 6.3074 diff
0 500 112 12.1514 norm
0 500 113 4.69841 diff
0 500 113 11.022 norm
0 500 114 3.45934 diff
0 500 114 10.1829 norm
0 500 115 2.4858 diff
0 500 115 9.5323 norm
0 500 116 1.69534 diff
0 500 116 9.00409 norm
0 500 117 1.0356 diff
0 500 117 8.56179 norm
0 500 118 0.476417 diff
0 500 118 8.18594 norm
0 500 119 0.0 diff
0 500 119 7.86502 norm
0 1000 0 6.66822 diff
0 1000 0 1.83876 norm
0 1000 1 6.98426 diff
0 1000 1 3.80349 norm
0 1000 2 7.6612 diff
0 1000 2 5.78531 norm
0 1000 3 8.62376 diff
0 1000 3 7.68832 norm
0 1000 4 9.68242 diff
0 1000 4 9.38453 norm
0 1000 5 10.6987 diff
0 1000 5 10.8596 norm
0 1000 6 11.6572 diff
0 1000 6 12.1757 norm
0 1000 7 12.5557 diff
0 1000 7 13.3188 norm
0 1000 8 13.3711 diff
0 1000 8 14.3294 norm
0 1000 9 14.0995 diff
0 1000 9 15.2333 norm
0 1000 10 14.1 diff
0 1000 10 15.4728 norm
0 1000 11 14.306 diff
0 1000 11 15.8493 norm
0 1000 12 14.6263 diff
0 1000 12 16.3025 norm
0 1000 13 15.0142 diff
0 1000 13 16.7974 norm
0 1000 14 15.4414 diff
0 1000 14 17.3118 norm
0 1000 15 15.8899 diff
0 1000 15 17.832 norm
0 1000 16 16.3481 diff
0 1000 16 18.3496 norm
0 1000 17 16.8087 diff
0 1000 17 18.8598 norm
0 1000 18 17.2668 diff
0 1000 18 19.3598 norm
0 1000 19 17.7192 diff
0 1000 19 19.8479 norm
0 1000 20 18.1641 diff
0 1000 20 20.3234 norm
0 1000 21 18.6001 diff
0 1000 21 20.7859 norm
0 1000 22 19.0265 diff
0 1000 22 21.2356 norm
0 1000 23 19.443 diff
0 1000 23 21.6725 norm
0 1000 24 19.8493 diff
0 1000 24 22.097 norm
0 1000 25 20.2455 diff
0 1000 25 22.5095 norm
0 1000 26 20.6314 diff
0 1000 26 22.9102 norm
0 1000 27 21.0074 diff
0 1000 27 23.2996 norm
0 1000 28 21.3732 diff
0 1000 28 23.6779 norm
0 1000 29 21.7289 diff
0 1000 29 24.0452 norm
0 1000 30 22.0743 diff
0 1000 30 24.4014 norm
0 1000 31 22.4089 diff
0 1000 31 24.7462 norm
0 1000 32 22.7318 diff
0 1000 32 25.0791 norm
0 1000 33 23.0421 diff
0 1000 33 25.3992 norm
0 1000 34 23.3382 diff
0 1000 34 25.7053 norm
0 1000 35 23.6185 diff
0 1000 35 25.9959 norm
0 1000 36 23.8812 diff
0 1000 36 26.2694 norm
0 1000 37 24.1243 diff
0 1000 37 26.5238 norm
0 1000 38 24.3456 diff
0 1000 38 26.7572 norm
