batch k value what
500 117 1.83904 diff
500 117 1.90999 norm
500 118 1.86114 diff
500 118 1.92801 norm
500 119 0.0 diff
500 119 2.08425 norm
1000 0 3.2766 diff
1000 0 2.64347 norm
1000 1 4.11293 diff
1000 1 3.61254 norm
1000 2 4.74168 diff
1000 2 4.21051 norm
1000 3 4.93582 diff
1000 3 4.40526 norm
1000 4 5.06018 diff
1000 4 4.51574 norm
1000 5 5.12811 diff
1000 5 4.56159 norm
1000 6 5.13457 diff
1000 6 4.59907 norm
1000 7 5.15357 diff
1000 7 4.62233 norm
1000 8 5.2052 diff
1000 8 4.65157 norm
1000 9 5.17573 diff
1000 9 4.6392 norm
1000 10 4.17783 diff
1000 10 3.82447 norm
1000 11 3.63748 diff
1000 11 3.31336 norm
1000 12 3.22371 diff
1000 12 3.01696 norm
1000 13 3.09901 diff
1000 13 2.84123 norm
1000 14 2.94308 diff
1000 14 2.74473 norm
1000 15 2.86523 diff
1000 15 2.64563 norm
1000 16 2.76432 diff
1000 16 2.49406 norm
1000 17 2.64497 diff
1000 17 2.42093 norm
1000 18 2.55291 diff
1000 18 2.36161 norm
1000 19 2.43798 diff
1000 19 2.3826 norm
1000 20 2.53662 diff
1000 20 2.3713 norm
1000 21 2.50468 diff
1000 21 2.31489 norm
1000 22 2.53495 diff
1000 22 2.26237 norm
1000 23 2.50263 diff
1000 23 2.21399 norm
1000 24 2.48525 diff
1000 24 2.2029 norm
1000 25 2.48878 diff
1000 25 2.17121 norm
1000 26 2.44627 diff
1000 26 2.1684 norm
1000 27 2.46448 diff
1000 27 2.14031 norm
1000 28 2.44498 diff
1000 28 2.14648 norm
1000 29 2.47347 diff
1000 29 2.1266 norm
1000 30 2.45474 diff
1000 30 2.09821 norm
1000 31 2.42507 diff
1000 31 2.06836 norm
1000 32 2.40068 diff
1000 32 2.07115 norm
1000 33 2.37474 diff
1000 33 2.08495 norm
1000 34 2.39267 diff
1000 34 2.07985 norm
1000 35 2.39026 diff
1000 35 2.08388 norm
1000 36 2.39195 diff
1000 36 2.07223 norm
1000 37 2.37279 diff
1000 37 2.07683 norm
1000 38 2.36925 diff
1000 38 2.07522 norm
1000 39 2.36478 diff
1000 39 2.07141 norm
1000 40 2.35169 diff
1000 40 2.07692 norm
1000 41 2.35312 diff
1000 41 2.08083 norm
1000 42 2.35089 diff
1000 42 2.08679 norm
1000 43 2.36379 diff
1000 43 2.08287 norm
1000 44 2.36162 diff
1000 44 2.07695 norm
1000 45 2.35695 diff
1000 45 2.06964 norm
1000 46 2.34977 diff
1000 46 2.06604 norm
1000 47 2.34454 diff
1000 47 2.06913 norm
1000 48 2.35732 diff
1000 48 2.06791 norm
1000 49 2.35589 diff
1000 49 2.06779 norm
1000 50 2.36139 diff
1000 50 2.06444 norm
1000 51 2.35575 diff
1000 51 2.0632 norm
1000 52 2.35474 diff
1000 52 2.05718 norm
1000 53 2.35502 diff
1000 53 2.05707 norm
1000 54 2.34886 diff
1000 54 2.05539 norm
1000 55 2.34969 diff
1000 55 2.05684 norm
1000 56 2.34545 diff
1000 56 2.05934 norm
1000 57 2.35255 diff
1000 57 2.05776 norm
1000 58 2.3497 diff
1000 58 2.05679 norm
1000 59 2.34896 diff
1000 59 2.05405 norm
1000 60 2.3449 diff
1000 60 2.05356 norm
1000 61 2.34257 diff
1000 61 2.05344 norm
1000 62 2.34612 diff
1000 62 2.0561 norm
1000 63 2.34659 diff
1000 63 2.05811 norm
1000 64 2.34791 diff
1000 64 2.05685 norm
1000 65 2.34594 diff
1000 65 2.05677 norm
1000 66 2.34752 diff
1000 66 2.05533 norm
1000 67 2.34604 diff
1000 67 2.0553 norm
1000 68 2.34611 diff
1000 68 2.05475 norm
1000 69 2.34509 diff
1000 69 2.05599 norm
1000 70 2.34533 diff
1000 70 2.05665 norm
1000 71 2.34774 diff
1000 71 2.05654 norm
1000 72 2.3479 diff
1000 72 2.05642 norm
1000 73 2.34861 diff
1000 73 2.05466 norm
1000 74 2.3465 diff
1000 74 2.05448 norm
1000 75 2.3467 diff
1000 75 2.05455 norm
1000 76 2.34726 diff
1000 76 2.05601 norm
1000 77 2.34812 diff
1000 77 2.05667 norm
1000 78 2.34836 diff
1000 78 2.05685 norm
1000 79 2.34826 diff
1000 79 2.05622 norm
1000 80 2.3484 diff
1000 80 2.05616 norm
1000 81 2.34823 diff
1000 81 2.05636 norm
1000 82 2.34822 diff
1000 82 2.05638 norm
1000 83 2.34741 diff
1000 83 2.0571 norm
1000 84 2.34817 diff
1000 84 2.0576 norm
1000 85 2.34862 diff
1000 85 2.05805 norm
1000 86 2.34933 diff
1000 86 2.05786 norm
1000 87 2.34946 diff
1000 87 2.05749 norm
1000 88 2.349 diff
1000 88 2.05752 norm
1000 89 2.34883 diff
1000 89 2.05771 norm
1000 90 2.34915 diff
1000 90 2.05849 norm
1000 91 2.34963 diff
1000 91 2.05874 norm
1000 92 2.34972 diff
1000 92 2.05878 norm
1000 93 2.34999 diff
1000 93 2.05857 norm
1000 94 2.34986 diff
1000 94 2.05845 norm
1000 95 2.35007 diff
1000 95 2.05854 norm
1000 96 2.3499 diff
1000 96 2.0586 norm
1000 97 2.34973 diff
1000 97 2.0588 norm
1000 98 2.34997 diff
1000 98 2.05894 norm
1000 99 2.3501 diff
1000 99 2.05913 norm
1000 100 2.35055 diff
1000 100 2.05896 norm
1000 101 2.35045 diff
1000 101 2.05881 norm
1000 102 2.35032 diff
1000 102 2.0588 norm
1000 103 2.35014 diff
1000 103 2.05893 norm
1000 104 2.35018 diff
1000 104 2.05915 norm
1000 105 2.35036 diff
1000 105 2.05924 norm
1000 106 2.3504 diff
1000 106 2.05922 norm
1000 107 2.35045 diff
