batch k norm
1500 29 5.53399e-06
1500 30 5.89927e-06
1500 31 6.25418e-06
1500 32 6.62789e-06
1500 33 7.0389e-06
1500 34 7.41906e-06
1500 35 7.84503e-06
1500 36 8.27929e-06
1500 37 8.72731e-06
1500 38 9.23486e-06
1500 39 9.77872e-06
1500 40 1.0371e-05
1500 41 1.10162e-05
1500 42 1.17007e-05
1500 43 1.24469e-05
1500 44 1.32482e-05
1500 45 1.40704e-05
1500 46 1.50826e-05
1500 47 1.60241e-05
1500 48 1.70027e-05
1500 49 1.79985e-05
1500 50 1.90929e-05
1500 51 2.01688e-05
1500 52 2.13795e-05
1500 53 2.26864e-05
1500 54 2.41384e-05
1500 55 2.5567e-05
1500 56 2.72526e-05
1500 57 2.89318e-05
1500 58 3.08113e-05
1500 59 3.28658e-05
1500 60 3.49721e-05
1500 61 3.71183e-05
1500 62 3.94432e-05
1500 63 4.17942e-05
1500 64 4.44329e-05
1500 65 4.7009e-05
1500 66 4.98248e-05
1500 67 5.30852e-05
1500 68 5.6359e-05
1500 69 5.98245e-05
1500 70 6.37697e-05
1500 71 6.77284e-05
1500 72 7.21335e-05
1500 73 7.70729e-05
1500 74 8.18082e-05
1500 75 8.69202e-05
1500 76 9.24321e-05
1500 77 9.78119e-05
1500 78 0.000104236
1500 79 0.000110793
1500 80 0.000118105
1500 81 0.000125889
1500 82 0.000134254
1500 83 0.000143438
1500 84 0.000152784
1500 85 0.000162897
1500 86 0.000174477
1500 87 0.000186669
1500 88 0.000198942
1500 89 0.000212141
1500 90 0.000224984
1500 91 0.000239301
1500 92 0.00025495
1500 93 0.000272747
1500 94 0.000289476
1500 95 0.000309537
1500 96 0.000330071
1500 97 0.000350892
1500 98 0.000374729
1500 99 0.000400302
1500 100 0.000426343
1500 101 0.000454547
1500 102 0.000485441
1500 103 0.000516744
1500 104 0.000551495
1500 105 0.000588352
1500 106 0.000625391
1500 107 0.000667177
1500 108 0.000708582
1500 109 0.000871933
1500 110 0.00101234
1500 111 0.00102365
1500 112 0.00103518
1500 113 0.00100332
1500 114 0.000953252
1500 115 0.000917339
1500 116 0.000852597
1500 117 0.000744858
1500 118 0.000626702
1500 119 0.000450348
2000 0 5.13431e-08
2000 1 6.16466e-08
2000 2 8.1812e-08
2000 3 1.11418e-07
2000 4 1.56756e-07
2000 5 2.20211e-07
2000 6 3.22849e-07
2000 7 4.78901e-07
2000 8 7.02597e-07
2000 9 9.77707e-07
2000 10 1.19542e-06
2000 11 1.39928e-06
2000 12 1.5776e-06
2000 13 1.76265e-06
2000 14 1.97766e-06
2000 15 2.18325e-06
2000 16 2.36849e-06
2000 17 2.56965e-06
2000 18 2.78094e-06
2000 19 3.01781e-06
2000 20 3.2763e-06
2000 21 3.53187e-06
2000 22 3.80065e-06
2000 23 4.05866e-06
2000 24 4.33889e-06
2000 25 4.62854e-06
2000 26 4.9224e-06
2000 27 5.24078e-06
2000 28 5.59188e-06
2000 29 5.97579e-06
2000 30 6.37454e-06
2000 31 6.77476e-06
2000 32 7.2134e-06
2000 33 7.65225e-06
2000 34 8.12646e-06
2000 35 8.64201e-06
2000 36 9.15414e-06
2000 37 9.69288e-06
2000 38 1.02626e-05
2000 39 1.08617e-05
2000 40 1.1513e-05
2000 41 1.21974e-05
2000 42 1.29764e-05
2000 43 1.38091e-05
2000 44 1.47588e-05
2000 45 1.56651e-05
2000 46 1.66684e-05
2000 47 1.76982e-05
2000 48 1.87759e-05
2000 49 1.99469e-05
2000 50 2.11653e-05
2000 51 2.23313e-05
2000 52 2.35603e-05
2000 53 2.48691e-05
2000 54 2.63759e-05
2000 55 2.79871e-05
2000 56 2.97249e-05
2000 57 3.14878e-05
2000 58 3.35671e-05
2000 59 3.55658e-05
2000 60 3.77199e-05
2000 61 3.99874e-05
2000 62 4.23254e-05
2000 63 4.47773e-05
2000 64 4.74426e-05
2000 65 5.03128e-05
2000 66 5.32439e-05
2000 67 5.63132e-05
2000 68 5.98558e-05
2000 69 6.34658e-05
2000 70 6.73765e-05
2000 71 7.14143e-05
2000 72 7.5814e-05
2000 73 8.04991e-05
2000 74 8.55651e-05
2000 75 9.07715e-05
2000 76 9.59943e-05
2000 77 0.000102027
2000 78 0.000108401
2000 79 0.000115206
2000 80 0.000122384
2000 81 0.000130511
2000 82 0.000139298
2000 83 0.000148319
2000 84 0.000158177
2000 85 0.000168164
2000 86 0.000178716
2000 87 0.000190706
2000 88 0.000202825
2000 89 0.000215256
2000 90 0.000228233
2000 91 0.000241755
2000 92 0.000256379
2000 93 0.000272146
2000 94 0.000287113
2000 95 0.000305963
2000 96 0.000325719
2000 97 0.000346962
2000 98 0.000370141
2000 99 0.000395189
